name,export_rva,target_rva,target_size,source,status,notes
"??$?6D@@YAAAVDebug@@AAV0@ABV?$StringBase@D@@@Z","0x00016F86","0x0005F590","52","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??6@YAAAVDebug@@AAV0@ABV?$StringBase@D@@@Z;C++ alias"
"??$?8D@@YA_NABV?$StringBase@D@@0@Z","0x000259B9","0x0007FFF0","20","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??8@YA_NABV?$StringBase@D@@0@Z;C++ alias"
"??$?8D@@YA_NABV?$StringBase@D@@PBD@Z","0x0002A71B","0x000AA230","20","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??8@YA_NABV?$StringBase@D@@PBD@Z;C++ alias"
"??$?8DV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@0@Z","","0x00832760","47","Code/GameEngine/Source/GameLogic/Object/Update/OCLUpdate.cpp","matched",""
"??$?8DV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@PBD@Z","","0x0063B2A0","58","Code/GameEngine/Source/GameNetwork/GameSpy/Thread/BuddyThread.cpp","matched",""
"??$?8G@@YA_NABV?$StringBase@G@@0@Z","0x000447DD","0x000607A0","20","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??8@YA_NABV?$StringBase@G@@0@Z;C++ alias"
"??$?9D@@YA_NABV?$StringBase@D@@0@Z","0x000418C6","0x000A3D50","20","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??9@YA_NABV?$StringBase@D@@0@Z;C++ alias"
"??$?9D@@YA_NABV?$StringBase@D@@PBD@Z","0x000153A7","0x000D0D30","21","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??9@YA_NABV?$StringBase@D@@PBD@Z;C++ alias"
"??$?9D@@YA_NPBDABV?$StringBase@D@@@Z","0x0087F570","0x0087F570","21","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","operator!= reversed args char"
"??$?9G@@YA_NABV?$StringBase@G@@0@Z","0x0001EAA1","0x0009B530","20","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??9@YA_NABV?$StringBase@G@@0@Z;C++ alias"
"??$?MD@@YA_NABV?$StringBase@D@@0@Z","0x0000FAAB","0x00062ED0","24","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??M@YA_NABV?$StringBase@D@@0@Z;C++ alias"
"??$?MDV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@0@Z","","0x006451D0","98","Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PingThread.cpp","matched",""
"??$?MG@@YA_NABV?$StringBase@G@@0@Z","0x00005D94","0x0054EB50","24","Code/Libraries/Source/WWVegas/WWLib/string_base.cpp","matched","object-symbol=??M@YA_NABV?$StringBase@G@@0@Z;C++ alias"
"??$__adjust_heap@PAU?$pair@W4ObjectID@@I@_STL@@HU12@P6A_NU12@0@Z@_STL@@YAXPAU?$pair@W4ObjectID@@I@0@HHU10@P6A_N11@Z@Z","","0x000954A0","166","Code/GameEngine/Source/GameLogic/AI/partition_solver.cpp","matched",""
"??$__advance@PBIH@_STL@@YAXAAPBIHABUrandom_access_iterator_tag@0@@Z","","0x000666B0","18","Code/GameEngine/Source/GameClient/FXList.cpp","matched",""
"??$__copy@PAUCoord3D@@PAU1@H@_STL@@YAPAUCoord3D@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B6BB0","77","Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/DockUpdate.cpp","matched",""
"??$__copy@PAUDetonatorInfo@MinefieldBehavior@@PAU12@H@_STL@@YAPAUDetonatorInfo@MinefieldBehavior@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B98F0","76","Code/GameEngine/Source/GameLogic/Object/Behavior/MinefieldBehavior.cpp","matched",""
"??$__copy@PAUEvaCheck@@PAU1@H@_STL@@YAPAUEvaCheck@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B98F0","76","Code/GameEngine/Source/GameClient/Eva.cpp","matched",""
"??$__copy@PAUHideShowSubObjInfo@ModelConditionInfo@@PAU12@H@_STL@@YAPAUHideShowSubObjInfo@ModelConditionInfo@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x00018674","5","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/ModelConditionInfoCopyThunk.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PAUHorzLine@@PAU1@H@_STL@@YAPAUHorzLine@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x001504B0","77","Code/GameEngine/Source/Common/discrete_circle.cpp","matched",""
"??$__copy@PAUNugget@ModuleInfo@@PAU12@H@_STL@@YAPAUNugget@ModuleInfo@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x0001F735","5","Code/GameEngine/Source/Common/Thing/ModuleInfoNuggetCopyThunk.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PAUParticleSysBoneInfo@@PAU1@H@_STL@@YAPAUParticleSysBoneInfo@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000097CD","5","Code/GameEngine/Source/GameLogic/Object/DeliverPayloadNuggetCopyThunk.cpp","matched","shared ICF owner moved from MASM thunk to focused C++ template TU"
"??$__copy@PAUPayload@DeliverPayloadNugget@@PAU12@H@_STL@@YAPAUPayload@DeliverPayloadNugget@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000097CD","5","Code/GameEngine/Source/GameLogic/Object/DeliverPayloadNuggetCopyThunk.cpp","matched","shared ICF alias converted from MASM thunk to focused C++ template TU"
"??$__copy@PAUSegInfo@W3DRopeDraw@@PAU12@H@_STL@@YAPAUSegInfo@W3DRopeDraw@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x0075A050","76","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/W3DRopeDraw.cpp","matched",""
"??$__copy@PAUStationPointData@GarrisonContain@@PAU12@H@_STL@@YAPAUStationPointData@GarrisonContain@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B98F0","76","Code/GameEngine/Source/GameLogic/Object/Contain/GarrisonContain.cpp","matched",""
"??$__copy@PAUVideo@@PAU1@H@_STL@@YAPAUVideo@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000112FC","5","Code/GameEngine/Source/GameClient/VideoCopy.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PAUWeaponBarrelInfo@ModelConditionInfo@@PAU12@H@_STL@@YAPAUWeaponBarrelInfo@ModelConditionInfo@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x00761700","682","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy@PAUWeaponRecoilInfo@W3DModelDraw@@PAU12@H@_STL@@YAPAUWeaponRecoilInfo@W3DModelDraw@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x0020E430","77","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy@PAV?$BitFlags@$0HF@@@PAV1@H@_STL@@YAPAV?$BitFlags@$0HF@@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x00403BC0","76","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy@PAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@_STL@@PAV12@H@_STL@@YAPAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@0@PAV10@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x003B5F40","68","Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp","matched","resweep exact post-GWM-fix (exact-ambiguous)"
"??$__copy@PAVArmorTemplateSet@@PAV1@H@_STL@@YAPAVArmorTemplateSet@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x00133790","77","Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","matched",""
"??$__copy@PAVAsciiString@@PAV1@H@_STL@@YAPAVAsciiString@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x00042EA6","5","Code/GameEngine/Source/Common/System/AsciiStringCopy.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PAVPlayerTemplate@@PAV1@H@_STL@@YAPAVPlayerTemplate@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000E3C50","83","Code/GameEngine/Source/Common/RTS/PlayerTemplate.cpp","matched",""
"??$__copy@PAVProductionPrerequisite@@PAV1@H@_STL@@YAPAVProductionPrerequisite@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000181A1","5","Code/GameEngine/Source/Common/RTS/ProductionPrerequisiteCopy.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PAVW3DAnimationInfo@@PAV1@H@_STL@@YAPAVW3DAnimationInfo@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x00024023","5","Code/Libraries/Source/WWVegas/WW3D2/W3DAnimationInfoCopy.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PAVWeaponTemplateSet@@PAV1@H@_STL@@YAPAVWeaponTemplateSet@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x002E3110","78","Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","matched",""
"??$__copy@PAW4ObjectID@@PAW41@H@_STL@@YAPAW4ObjectID@@PAW41@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B98B0","44","Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/DockUpdate.cpp","matched",""
"??$__copy@PAW4ParticleSystemID@@PAW41@H@_STL@@YAPAW4ParticleSystemID@@PAW41@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B9870","44","Code/GameEngine/Source/GameLogic/Object/Update/BoneFXUpdate.cpp","matched",""
"??$__copy@PAW4ScienceType@@PAW41@H@_STL@@YAPAW4ScienceType@@PAW41@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000A73A0","44","Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp","matched",""
"??$__copy@PBUCoord3D@@PAU1@H@_STL@@YAPAUCoord3D@@PBU1@0PAU1@ABUrandom_access_iterator_tag@0@PAH@Z","","0x00068A80","77","Code/GameEngine/Source/GameLogic/Object/Behavior/ParkingPlaceBehavior.cpp","matched",""
"??$__copy@PBUHideShowSubObjInfo@ModelConditionInfo@@PAU12@H@_STL@@YAPAUHideShowSubObjInfo@ModelConditionInfo@@PBU12@0PAU12@ABUrandom_access_iterator_tag@0@PAH@Z","","0x0003DB1D","5","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/ModelConditionInfoConstCopyThunk.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PBUNugget@ModuleInfo@@PAU12@H@_STL@@YAPAUNugget@ModuleInfo@@PBU12@0PAU12@ABUrandom_access_iterator_tag@0@PAH@Z","","0x0003B688","5","Code/GameEngine/Source/Common/Thing/ModuleInfoNuggetConstCopyThunk.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PBUParticleSysBoneInfo@@PAU1@H@_STL@@YAPAUParticleSysBoneInfo@@PBU1@0PAU1@ABUrandom_access_iterator_tag@0@PAH@Z","","0x00039577","5","Code/GameEngine/Source/GameClient/System/FXParticleSystem/ParticleSysBoneInfoConstCopyThunk.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PBUPrereqUnitRec@ProductionPrerequisite@@PAU12@H@_STL@@YAPAUPrereqUnitRec@ProductionPrerequisite@@PBU12@0PAU12@ABUrandom_access_iterator_tag@0@PAH@Z","","0x003B5F40","68","Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp","matched","object-symbol=??$__copy@PAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@_STL@@PAV12@H@_STL@@YAPAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@0@PAV10@00ABUrandom_access_iterator_tag@0@PAH@Z;Thunk-dump converted to clean C++ ICF alias"
"??$__copy@PBUWeaponBarrelInfo@ModelConditionInfo@@PAU12@H@_STL@@YAPAUWeaponBarrelInfo@ModelConditionInfo@@PBU12@0PAU12@ABUrandom_access_iterator_tag@0@PAH@Z","","0x0075EB00","682","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy@PBV?$BitFlags@$0HF@@@PAV1@H@_STL@@YAPAV?$BitFlags@$0HF@@@PBV1@0PAV1@ABUrandom_access_iterator_tag@0@PAH@Z","","0x00749300","76","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy@PBVArmorTemplateSet@@PAV1@H@_STL@@YAPAVArmorTemplateSet@@PBV1@0PAV1@ABUrandom_access_iterator_tag@0@PAH@Z","","0x0013DF60","77","Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","matched",""
"??$__copy@PBVProductionPrerequisite@@PAV1@H@_STL@@YAPAVProductionPrerequisite@@PBV1@0PAV1@ABUrandom_access_iterator_tag@0@PAH@Z","","0x000078E7","5","Code/GameEngine/Source/Common/RTS/ProductionPrerequisiteConstCopy.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PBVW3DAnimationInfo@@PAV1@H@_STL@@YAPAVW3DAnimationInfo@@PBV1@0PAV1@ABUrandom_access_iterator_tag@0@PAH@Z","","0x000417EF","5","Code/Libraries/Source/WWVegas/WW3D2/W3DAnimationInfoConstCopy.cpp","matched","5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation"
"??$__copy@PBVWeaponTemplateSet@@PAV1@H@_STL@@YAPAVWeaponTemplateSet@@PBV1@0PAV1@ABUrandom_access_iterator_tag@0@PAH@Z","","0x002E3110","78","Code/GameEngine/Source/Common/Thing/ThingFactory.cpp","matched",""
"??$__copy@PBW4ObjectID@@PAW41@H@_STL@@YAPAW4ObjectID@@PBW41@0PAW41@ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B9A20","44","Code/GameEngine/Source/GameLogic/AI/AIStates.cpp","matched",""
"??$__copy@PBW4ScienceType@@PAW41@H@_STL@@YAPAW4ScienceType@@PBW41@0PAW41@ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B9830","44","Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp","matched",""
"??$__copy@U?$_Bit_iter@_NPB_N@_STL@@U?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@2@H@_STL@@YA?AU?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@0@U?$_Bit_iter@_NPB_N@0@0U10@ABUrandom_access_iterator_tag@0@PAH@Z","","0x002CAF40","129","Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PeerThread.cpp","matched",""
"??$__copy@U?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@_STL@@U12@H@_STL@@YA?AU?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@0@U10@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x002CAF40","129","Code/GameEngineDevice/Source/W3DDevice/GameClient/BaseHeightMap.cpp","matched","STLport template-internal COMDAT emitted by this TU; thunk-dump repointed to real body"
"??$__copy@U?$_Rb_tree_iterator@VAsciiString@@U?$_Const_traits@VAsciiString@@@_STL@@@_STL@@PAVAsciiString@@H@_STL@@YAPAVAsciiString@@U?$_Rb_tree_iterator@VAsciiString@@U?$_Const_traits@VAsciiString@@@_STL@@@0@0PAV1@ABUinput_iterator_tag@0@PAH@Z","","0x009CC4C0","61","Code/GameEngineDevice/Source/Win32Device/Common/Win32BIGFileSystem_loadBigFiles.cpp","matched",""
"??$__copy_aux@U?$_Bit_iter@_NPB_N@_STL@@U?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@2@@_STL@@YA?AU?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@0@U?$_Bit_iter@_NPB_N@0@0U10@ABU__false_type@0@@Z","","0x00645250","63","Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PeerThread.cpp","matched",""
"??$__copy_aux@U?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@_STL@@U12@@_STL@@YA?AU?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@0@U10@00ABU__false_type@0@@Z","","0x002CB4B0","79","Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLQuickMatchMenu.cpp","matched",""
"??$__copy_backward@PAU?$pair@W4ObjectID@@I@_STL@@PAU12@H@_STL@@YAPAU?$pair@W4ObjectID@@I@0@PAU10@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x00260A40","59","Code/GameEngine/Source/GameLogic/AI/partition_solver.cpp","matched",""
"??$__copy_backward@PAUCoord3D@@PAU1@H@_STL@@YAPAUCoord3D@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000B6C10","86","Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/DockUpdate.cpp","matched",""
"??$__copy_backward@PAUICoord2D@@PAU1@H@_STL@@YAPAUICoord2D@@PAU1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000950E0","59","Code/GameEngine/Source/GameClient/MapUtil.cpp","matched",""
"??$__copy_backward@PAUWeaponRecoilInfo@W3DModelDraw@@PAU12@H@_STL@@YAPAUWeaponRecoilInfo@W3DModelDraw@@PAU12@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x0052D370","86","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy_backward@PAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@_STL@@PAV12@H@_STL@@YAPAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@0@PAV10@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x000BCCE0","77","Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp","matched",""
"??$__copy_backward@PAVAsciiString@@PAV1@H@_STL@@YAPAVAsciiString@@PAV1@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x003C4EA0","62","Code/GameEngineDevice/Source/Win32Device/Common/Win32BIGFileSystem_loadBigFiles.cpp","matched",""
"??$__copy_backward@PAW4ObjectID@@PAW41@H@_STL@@YAPAW4ObjectID@@PAW41@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x002CA890","53","Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/DockUpdate.cpp","matched",""
"??$__copy_backward@U?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@_STL@@U12@H@_STL@@YA?AU?$_Bit_iter@U_Bit_reference@_STL@@PAU12@@0@U10@00ABUrandom_access_iterator_tag@0@PAH@Z","","0x002CB400","140","Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/DockUpdate.cpp","matched",""
"??$__copy_backward_aux@PAU?$pair@W4ObjectID@@I@_STL@@PAU12@@_STL@@YAPAU?$pair@W4ObjectID@@I@0@PAU10@00ABU__true_type@0@@Z","","0x00095B70","53","Code/GameEngine/Source/GameLogic/AI/partition_solver.cpp","matched",""
"??$__copy_backward_ptrs@PAU?$pair@W4ObjectID@@I@_STL@@PAU12@@_STL@@YAPAU?$pair@W4ObjectID@@I@0@PAU10@00ABU__false_type@0@@Z","","0x00095980","53","Code/GameEngine/Source/GameLogic/AI/partition_solver.cpp","matched",""
"??$__copy_backward_ptrs@PAUCoord3D@@PAU1@@_STL@@YAPAUCoord3D@@PAU1@00ABU__false_type@0@@Z","","0x000B7380","32","Code/GameEngine/Source/Common/Bezier/BezierSegment.cpp","matched",""
"??$__copy_backward_ptrs@PAUICoord2D@@PAU1@@_STL@@YAPAUICoord2D@@PAU1@00ABU__false_type@0@@Z","","0x00095570","53","Code/GameEngine/Source/GameClient/MapUtil.cpp","matched",""
"??$__copy_backward_ptrs@PAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@_STL@@PAV12@@_STL@@YAPAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@0@PAV10@00ABU__false_type@0@@Z","","0x000BD5B0","32","Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp","matched",""
"??$__copy_backward_ptrs@PAW4ObjectID@@PAW41@@_STL@@YAPAW4ObjectID@@PAW41@00ABU__false_type@0@@Z","","0x002CAF00","46","Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/DockUpdate.cpp","matched",""
"??$__copy_ptrs@PAUCoord3D@@PAU1@@_STL@@YAPAUCoord3D@@PAU1@00ABU__false_type@0@@Z","","0x000B72D0","32","Code/GameEngine/Source/Common/Bezier/BezierSegment.cpp","matched",""
"??$__copy_ptrs@PAUDetonatorInfo@MinefieldBehavior@@PAU12@@_STL@@YAPAUDetonatorInfo@MinefieldBehavior@@PAU12@00ABU__false_type@0@@Z","","0x000BA6F0","32","Code/GameEngine/Source/GameLogic/Object/Behavior/MinefieldBehavior.cpp","matched",""
"??$__copy_ptrs@PAUEvaCheck@@PAU1@@_STL@@YAPAUEvaCheck@@PAU1@00ABU__false_type@0@@Z","","0x000BA6F0","32","Code/GameEngine/Source/GameClient/Eva.cpp","matched","icf-owner=??$__copy_ptrs@PAUDetonatorInfo@MinefieldBehavior@@PAU12@@_STL@@YAPAUDetonatorInfo@MinefieldBehavior@@PAU12@00ABU__false_type@0@@Z"
"??$__copy_ptrs@PAUFXBoneInfo@@PAU1@@_STL@@YAPAUFXBoneInfo@@PAU1@00ABU__false_type@0@@Z","","0x0037E630","32","Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp","matched",""
"??$__copy_ptrs@PAUHideShowSubObjInfo@ModelConditionInfo@@PAU12@@_STL@@YAPAUHideShowSubObjInfo@ModelConditionInfo@@PAU12@00ABU__false_type@0@@Z","","0x0033BA80","32","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy_ptrs@PAUHorzLine@@PAU1@@_STL@@YAPAUHorzLine@@PAU1@00ABU__false_type@0@@Z","","0x00068C20","32","Code/GameEngine/Source/Common/discrete_circle.cpp","matched",""
"??$__copy_ptrs@PAUNugget@ModuleInfo@@PAU12@@_STL@@YAPAUNugget@ModuleInfo@@PAU12@00ABU__false_type@0@@Z","","0x007722C0","32","Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","matched",""
"??$__copy_ptrs@PAUPayload@DeliverPayloadNugget@@PAU12@@_STL@@YAPAUPayload@DeliverPayloadNugget@@PAU12@00ABU__false_type@0@@Z","","0x0036E110","32","Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp","matched",""
"??$__copy_ptrs@PAUPrereqUnitRec@ProductionPrerequisite@@PAU12@@_STL@@YAPAUPrereqUnitRec@ProductionPrerequisite@@PAU12@00ABU__false_type@0@@Z","","0x000E4BB0","32","Code/GameEngine/Source/Common/RTS/ProductionPrerequisite.cpp","matched",""
"??$__copy_ptrs@PAUSegInfo@W3DRopeDraw@@PAU12@@_STL@@YAPAUSegInfo@W3DRopeDraw@@PAU12@00ABU__false_type@0@@Z","","0x0075A150","32","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/W3DRopeDraw.cpp","matched",""
"??$__copy_ptrs@PAUStationPointData@GarrisonContain@@PAU12@@_STL@@YAPAUStationPointData@GarrisonContain@@PAU12@00ABU__false_type@0@@Z","","0x000BA6F0","32","Code/GameEngine/Source/GameLogic/Object/Contain/GarrisonContain.cpp","matched","icf-owner=??$__copy_ptrs@PAUDetonatorInfo@MinefieldBehavior@@PAU12@@_STL@@YAPAUDetonatorInfo@MinefieldBehavior@@PAU12@00ABU__false_type@0@@Z"
"??$__copy_ptrs@PAUVideo@@PAU1@@_STL@@YAPAUVideo@@PAU1@00ABU__false_type@0@@Z","","0x00755880","32","Code/GameEngine/Source/GameClient/VideoPlayer.cpp","matched",""
"??$__copy_ptrs@PAUWeaponBarrelInfo@ModelConditionInfo@@PAU12@@_STL@@YAPAUWeaponBarrelInfo@ModelConditionInfo@@PAU12@00ABU__false_type@0@@Z","","0x00764F70","32","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy_ptrs@PAUWeaponRecoilInfo@W3DModelDraw@@PAU12@@_STL@@YAPAUWeaponRecoilInfo@W3DModelDraw@@PAU12@00ABU__false_type@0@@Z","","0x0020E940","32","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy_ptrs@PAV?$BitFlags@$0HF@@@PAV1@@_STL@@YAPAV?$BitFlags@$0HF@@@PAV1@00ABU__false_type@0@@Z","","0x00404200","32","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy_ptrs@PAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@_STL@@PAV12@@_STL@@YAPAV?$vector@UICoord2D@@V?$allocator@UICoord2D@@@_STL@@@0@PAV10@00ABU__false_type@0@@Z","","0x003B60D0","32","Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp","matched",""
"??$__copy_ptrs@PAVArmorTemplateSet@@PAV1@@_STL@@YAPAVArmorTemplateSet@@PAV1@00ABU__false_type@0@@Z","","0x00133FA0","32","Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","matched",""
"??$__copy_ptrs@PAVAsciiString@@PAV1@@_STL@@YAPAVAsciiString@@PAV1@00ABU__false_type@0@@Z","","0x006FA3D0","32","Code/GameEngine/Source/Common/Audio/GameAudio.cpp","matched",""
"??$__copy_ptrs@PAVPlayerTemplate@@PAV1@@_STL@@YAPAVPlayerTemplate@@PAV1@00ABU__false_type@0@@Z","","0x000E3CF0","32","Code/GameEngine/Source/Common/RTS/PlayerTemplate.cpp","matched",""
"??$__copy_ptrs@PAVProductionPrerequisite@@PAV1@@_STL@@YAPAVProductionPrerequisite@@PAV1@00ABU__false_type@0@@Z","","0x00753670","32","Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","matched",""
"??$__copy_ptrs@PAVW3DAnimationInfo@@PAV1@@_STL@@YAPAVW3DAnimationInfo@@PAV1@00ABU__false_type@0@@Z","","0x00611BB0","32","Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp","matched",""
"??$__copy_ptrs@PAVWeaponTemplateSet@@PAV1@@_STL@@YAPAVWeaponTemplateSet@@PAV1@00ABU__false_type@0@@Z","","0x002E3E30","32","Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","matched",""
"??$__copy_ptrs@PAW4ObjectID@@PAW41@@_STL@@YAPAW4ObjectID@@PAW41@00ABU__false_type@0@@Z","","0x000BA640","37","Code/GameEngine/Source/GameLogic/Object/Update/DockUpdate/DockUpdate.cpp","matched",""
