function,source,size,candidate_rva,aligned_pct,class,first_diff,hint,votes
??1?$_Rb_tree@IU?$pair@$$CBIPAVState@@@_STL@@U?$_Select1st@U?$pair@$$CBIPAVState@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIPAVState@@@_STL@@@2@@_STL@@QAE@XZ,StateMachine.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@HU?$pair@$$CBHVAsciiString@@@_STL@@U?$_Select1st@U?$pair@$$CBHVAsciiString@@@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHVAsciiString@@@_STL@@@2@@_STL@@QAE@XZ,UserPreferences.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@PBVLadderInfo@@PBV1@U?$_Identity@PBVLadderInfo@@@_STL@@U?$less@PBVLadderInfo@@@3@V?$allocator@PBVLadderInfo@@@3@@_STL@@QAE@XZ,PopupHostGame.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@HU?$pair@$$CBHVBuddyInfo@@@_STL@@U?$_Select1st@U?$pair@$$CBHVBuddyInfo@@@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHVBuddyInfo@@@_STL@@@2@@_STL@@QAE@XZ,WOLBuddyOverlayInsertUnique.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?WOLWelcomeMenuInput@@YA?AW4WindowMsgHandledType@@PAVGameWindow@@III@Z,WOLWelcomeMenu.cpp,78,0x004F9680,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??1?$_Rb_tree@PBVThingTemplate@@PBV1@U?$_Identity@PBVThingTemplate@@@_STL@@U?$less@PBVThingTemplate@@@3@V?$allocator@PBVThingTemplate@@@3@@_STL@@QAE@XZ,InGameUI.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@VAsciiString@@U?$pair@$$CBVAsciiString@@PAVNamedTimerInfo@@@_STL@@U?$_Select1st@U?$pair@$$CBVAsciiString@@PAVNamedTimerInfo@@@_STL@@@3@U?$less@VAsciiString@@@3@V?$allocator@U?$pair@$$CBVAsciiString@@PAVNamedTimerInfo@@@_STL@@@3@@_STL@@QAE@XZ,InGameUI.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@VAsciiString@@U?$pair@$$CBVAsciiString@@V?$list@PAVSuperweaponInfo@@V?$allocator@PAVSuperweaponInfo@@@_STL@@@_STL@@@_STL@@U?$_Select1st@U?$pair@$$CBVAsciiString@@V?$list@PAVSuperweaponInfo@@V?$allocator@PAVSuperweaponInfo@@@_STL@@@_STL@@@_STL@@@3@U?$less@VAsciiString@@@3@V?$allocator@U?$pair@$$CBVAsciiString@@V?$list@PAVSuperweaponInfo@@V?$allocator@PAVSuperweaponInfo@@@_STL@@@_STL@@@_STL@@@3@@_STL@@QAE@XZ,InGameUI.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@VUnicodeString@@V1@U?$_Identity@VUnicodeString@@@_STL@@U?$less_than_nocase@VUnicodeString@@@rts@@V?$allocator@VUnicodeString@@@3@@_STL@@QAE@XZ,MapUtil.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@VUnicodeString@@U?$pair@$$CBVUnicodeString@@VAsciiString@@@_STL@@U?$_Select1st@U?$pair@$$CBVUnicodeString@@VAsciiString@@@_STL@@@3@U?$less@VUnicodeString@@@3@V?$allocator@U?$pair@$$CBVUnicodeString@@VAsciiString@@@_STL@@@3@@_STL@@QAE@XZ,MapUtil.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@IU?$pair@$$CBIPAVImage@@@_STL@@U?$_Select1st@U?$pair@$$CBIPAVImage@@@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBIPAVImage@@@_STL@@@2@@_STL@@QAE@XZ,Image.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@VAsciiString@@U?$pair@$$CBVAsciiString@@H@_STL@@U?$_Select1st@U?$pair@$$CBVAsciiString@@H@_STL@@@3@U?$less@VAsciiString@@@3@V?$allocator@U?$pair@$$CBVAsciiString@@H@_STL@@@3@@_STL@@QAE@XZ,ParticleSys.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?_M_fill_insert@?$vector@PAXV?$allocator@PAX@_STL@@@_STL@@QAEXPAPAXIABQAX@Z,ParticleSys.cpp,282,0x003D3D50,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,15
??4?$list@UcrateCreationEntry@@V?$allocator@UcrateCreationEntry@@@_STL@@@_STL@@QAEAAV01@ABV01@@Z,CrateSystem.cpp,165,0x0037A0D0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,11
??1?$_Rb_tree@GU?$pair@$$CBGE@_STL@@U?$_Select1st@U?$pair@$$CBGE@_STL@@@2@U?$less@G@2@V?$allocator@U?$pair@$$CBGE@_STL@@@2@@_STL@@QAE@XZ,ConnectionManager.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?erase@?$_Rb_tree@GU?$pair@$$CBGE@_STL@@U?$_Select1st@U?$pair@$$CBGE@_STL@@@2@U?$less@G@2@V?$allocator@U?$pair@$$CBGE@_STL@@@2@@_STL@@QAEIABG@Z,ConnectionManager.cpp,91,0x009EC540,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?zeroFrames@FrameDataManager@@QAEXII@Z,FrameDataManager.cpp,68,0x006707B0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??1?$_Rb_tree@PAVGameSpyStagingRoom@@PAV1@U?$_Identity@PAVGameSpyStagingRoom@@@_STL@@U?$less@PAVGameSpyStagingRoom@@@3@V?$allocator@PAVGameSpyStagingRoom@@@3@@_STL@@QAE@XZ,LobbyUtils.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@PAVGameSpyStagingRoom@@PAV1@U?$_Identity@PAVGameSpyStagingRoom@@@_STL@@UGameSortStruct@@V?$allocator@PAVGameSpyStagingRoom@@@3@@_STL@@QAE@XZ,LobbyUtils.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?_M_reallocate_map@?$deque@VGameResultsResponse@@V?$allocator@VGameResultsResponse@@@_STL@@@_STL@@IAEXI_N@Z,GameResultsThread.cpp,367,0x009EE360,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,21
?find@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QBEIDI@Z,PersistentStorageThread.cpp,61,0x006542C0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??$__find_if@V?$reverse_iterator@PBD@_STL@@U?$_Not_within_traits@V?$char_traits@D@_STL@@@2@@_STL@@YA?AV?$reverse_iterator@PBD@0@V10@0U?$_Not_within_traits@V?$char_traits@D@_STL@@@0@ABUrandom_access_iterator_tag@0@@Z,PersistentStorageThread.cpp,392,0x00653F30,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,22
?find_first_of@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QBEIDI@Z,PersistentStorageThread.cpp,61,0x006542C0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,5
??1?$_Rb_tree@HU?$pair@$$CBHVPSPlayerStats@@@_STL@@U?$_Select1st@U?$pair@$$CBHVPSPlayerStats@@@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHVPSPlayerStats@@@_STL@@@2@@_STL@@QAE@XZ,PersistentStorageThread.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@W4NameKeyType@@U?$pair@$$CBW4NameKeyType@@UPristineBoneInfo@@@_STL@@U?$_Select1st@U?$pair@$$CBW4NameKeyType@@UPristineBoneInfo@@@_STL@@@3@U?$less@W4NameKeyType@@@3@V?$allocator@U?$pair@$$CBW4NameKeyType@@UPristineBoneInfo@@@_STL@@@3@@_STL@@QAE@XZ,W3DModelDraw.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@$$CBV?$BitFlags@$0HF@@@U?$pair@$$CBV?$BitFlags@$0HF@@@PBUModelConditionInfo@@@_STL@@U?$_Select1st@U?$pair@$$CBV?$BitFlags@$0HF@@@PBUModelConditionInfo@@@_STL@@@3@UMapHelper@?$SparseMatchFinder@UModelConditionInfo@@V?$BitFlags@$0HF@@@@@V?$allocator@U?$pair@$$CBV?$BitFlags@$0HF@@@PBUModelConditionInfo@@@_STL@@@3@@_STL@@QAE@XZ,W3DModelDraw.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??1?$_Rb_tree@_KU?$pair@$$CB_KUModelConditionInfo@@@_STL@@U?$_Select1st@U?$pair@$$CB_KUModelConditionInfo@@@_STL@@@2@U?$less@_K@2@V?$allocator@U?$pair@$$CB_KUModelConditionInfo@@@_STL@@@2@@_STL@@QAE@XZ,W3DModelDraw.cpp,114,0x006587F0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
?resetShadowVolume@W3DVolumetricShadow@@IAEXHH@Z,W3DVolumetricShadow.cpp,123,0x007B9110,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,7
??0HAnimComboClass@@QAE@H@Z,hanim.cpp,213,0x00974820,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,9
?Delete_Registry_Tree@RegistryClass@@SAXPAD@Z,registry.cpp,475,0x009DCAB0,100,exact-ambiguous,-1,identical bytes; string-anchor disambiguated,22
?Flip_To_Primary@DX8Wrapper@@SAXXZ,dxwrapper.cpp,167,0x00909250,99,immediate-only,116,1 literal(s): call DWORD PTR [edx+0x3c] vs DWORD PTR [edx+0x44],6
?Get_Obj_Space_Bounding_Box@StreakLineClass@@UBEXAAVAABoxClass@@@Z,streak.cpp,2279,0x00919010,99,immediate-only,7,"7 literal(s): mov ecx,DWORD PTR [eax+0xac] vs ecx,DWORD PTR [eax+0xe0]",12
?Read@DebugIOCon@@UAEHPADH@Z,debug_io_con.cpp,561,0x00890F80,99,structural,60,"shape ratio 99%, sizes 561->561",16
?notifyLauncher@CopyProtect@@SA_NXZ,CopyProtection.cpp,242,0x001020D0,97,structural,79,"shape ratio 86%, sizes 242->198",10
?Post_Load_Process@MeshMatDescClass@@QAEX_NPAVMeshModelClass@@@Z,meshmatdesc.cpp,4057,0x0092A6C3,93,structural,0,"shape ratio 96%, sizes 4057->4057",16
?testMinimumRequirements@W3DShaderManager@@SA_NPAW4ChipsetType@@PAW4CpuType@@PAH2PAM33@Z,W3DShaderManager.cpp,175,0x00717887,90,structural,0,"shape ratio 96%, sizes 175->175",7
?prepForPlayerCounting@ObjectTypes@@QAEHAAV?$vector@PBVThingTemplate@@V?$allocator@PBVThingTemplate@@@_STL@@@_STL@@AAV?$vector@HV?$allocator@H@_STL@@@3@@Z,ObjectTypes.cpp,193,0x001DC59E,88,structural,0,"shape ratio 93%, sizes 193->193",8
?Get_DX8_Texture_Stage_State_Name@DX8Wrapper@@SAPBDK@Z,dxwrapper.cpp,304,0x00902913,88,structural,0,"shape ratio 58%, sizes 304->304",55
?Add_Camera_Shake@W3DView@@UAEXABUCoord3D@@MMM@Z,W3DView.cpp,62,0x0073D470,87,structural,46,"shape ratio 86%, sizes 62->63",5
?RenderMeshVolumeBounds@W3DVolumetricShadow@@IAEXHHPBVMatrix3D@@@Z,W3DVolumetricShadow.cpp,1343,0x007BC8B0,86,structural,580,"shape ratio 83%, sizes 1343->1345",8
?constructVolumeVB@W3DVolumetricShadow@@IAEXPAVVector3@@MHH@Z,W3DVolumetricShadow.cpp,1539,0x007B8980,80,structural,411,"shape ratio 94%, sizes 1539->1536",9
??0RankPoints@@QAE@XZ,PopupPlayerInfo.cpp,192,0x004DAFB5,79,structural,150,"shape ratio 92%, sizes 192->192",5
??0?$list@PAVNetPacket@@V?$allocator@PAVNetPacket@@@_STL@@@_STL@@QAE@ABV01@@Z,NetPacket.cpp,112,0x0076F63F,77,structural,0,"shape ratio 86%, sizes 112->112",5
?clone_materials@MeshModelClass@@IAEXABV1@@Z,meshmdlio.cpp,209,0x0096DDBA,77,structural,0,"shape ratio 90%, sizes 209->209",7
??RParabolicEase@@QBEMM@Z,ParabolicEase.cpp,193,0x00094AE8,76,structural,0,"shape ratio 71%, sizes 193->193",7
??0FontDesc@@QAE@XZ,GlobalLanguage.cpp,82,0x00439282,73,structural,0,"shape ratio 82%, sizes 82->82",7
?Set_NPatches_Level@WW3D@@SAXI@Z,ww3d.cpp,87,0x008FD080,73,structural,35,"shape ratio 64%, sizes 87->87",7
?Do_Onetime_Device_Dependent_Inits@DX8Wrapper@@SAXXZ,dxwrapper.cpp,77,0x0090AE00,72,structural,0,"shape ratio 18%, sizes 77->77",5
?WOLWelcomeMenuShutdown@@YAXPAVWindowLayout@@PAX@Z,WOLWelcomeMenu.cpp,117,0x0050B9B1,71,structural,0,"shape ratio 60%, sizes 117->117",6
?OnGameStartTimer@LANAPI@@UAEXH@Z,LANAPICallbacks.cpp,212,0x00689050,71,structural,127,"shape ratio 78%, sizes 212->222",16
??4?$vector@_NV?$allocator@_N@_STL@@@_STL@@QAEAAV01@ABV01@@Z,PeerThread.cpp,265,0x00646352,68,structural,0,"shape ratio 91%, sizes 265->265",11
??1W3DOverlordAircraftDraw@@MAE@XZ,W3DOverlordAircraftDraw.cpp,25,0x0078158D,68,structural,0,"shape ratio 22%, sizes 25->25",5
??1W3DSupplyDraw@@MAE@XZ,W3DSupplyDraw.cpp,25,0x0078158D,68,structural,0,"shape ratio 22%, sizes 25->25",5
?OnGameCreate@LANAPI@@UAEXW4ReturnType@LANAPIInterface@@@Z,LANAPICallbacks.cpp,225,0x00689927,67,structural,0,"shape ratio 62%, sizes 225->225",12
_$E12,RandomValue.cpp,36,0x00C6AAAF,66,structural,0,"shape ratio 23%, sizes 36->36",5
?_get_temp_vertex_position_array@@YAPAVVector3@@H@Z,shattersystem.cpp,25,0x00989069,64,structural,0,"shape ratio 10%, sizes 25->25",5
?SaveLoadMenuInit@@YAXPAVWindowLayout@@PAX@Z,PopupSaveLoad.cpp,759,0x004DF517,63,structural,0,"shape ratio 1%, sizes 759->759",115
?SaveLoadMenuFullScreenInit@@YAXPAVWindowLayout@@PAX@Z,PopupSaveLoad.cpp,804,0x004DF51F,63,structural,0,"shape ratio 2%, sizes 804->804",135
?HTTPThinkWrapper@@YAXXZ,MainMenuUtils.cpp,129,0x00630431,63,structural,0,"shape ratio 36%, sizes 129->129",6
??1CreditsManager@@UAE@XZ,Credits.cpp,227,0x0040CB1F,62,structural,0,"shape ratio 88%, sizes 227->227",11
??1BaikonurLaunchPower@@MAE@XZ,BaikonurLaunchPower.cpp,32,0x002690E7,62,structural,0,"shape ratio 0%, sizes 32->32",5
??1CashHackSpecialPower@@MAE@XZ,CashHackSpecialPower.cpp,32,0x002690E7,62,structural,0,"shape ratio 0%, sizes 32->32",5
??1OCLSpecialPower@@MAE@XZ,OCLSpecialPower.cpp,32,0x002690E7,62,structural,0,"shape ratio 0%, sizes 32->32",5
?Clone@CollectionClass@@UBEPAVRenderObjClass@@XZ,collect.cpp,96,0x0093B2E0,62,structural,0,"shape ratio 59%, sizes 96->96",7
?Clone@DistLODClass@@UBEPAVRenderObjClass@@XZ,distlod.cpp,96,0x0093B2E0,62,structural,0,"shape ratio 59%, sizes 96->96",7
?Clone@DynamicMeshClass@@UBEPAVRenderObjClass@@XZ,dynamesh.cpp,96,0x0093B2E0,62,structural,0,"shape ratio 59%, sizes 96->96",7
?Clone@RingRenderObjClass@@UBEPAVRenderObjClass@@XZ,ringobj.cpp,96,0x0093B2E0,62,structural,0,"shape ratio 59%, sizes 96->96",7
?Clone@SphereRenderObjClass@@UBEPAVRenderObjClass@@XZ,sphereobj.cpp,96,0x0093B2E0,62,structural,0,"shape ratio 59%, sizes 96->96",7
?Clone@StreakLineClass@@UBEPAVRenderObjClass@@XZ,streak.cpp,96,0x0093B2E0,62,structural,0,"shape ratio 59%, sizes 96->96",7
?Clone@ShdMeshClass@@UBEPAVRenderObjClass@@XZ,shdmesh.cpp,96,0x0093B2E0,62,structural,0,"shape ratio 59%, sizes 96->96",7
?ToggleDiplomacy@@YAX_N@Z,Diplomacy.cpp,34,0x00792BEB,61,structural,0,"shape ratio 17%, sizes 34->34",5
??4?$vector@UCoord2D@@V?$allocator@UCoord2D@@@_STL@@@_STL@@QAEAAV01@ABV01@@Z,Weapon.cpp,221,0x000B0588,61,structural,0,"shape ratio 81%, sizes 221->221",7
?noPatchBeforeOnlineCallback@@YAXXZ,MainMenuUtils.cpp,42,0x0062F796,61,structural,0,"shape ratio 0%, sizes 42->42",5
??1JetSlowDeathBehavior@@MAE@XZ,JetSlowDeathBehavior.cpp,117,0x00781520,60,structural,37,"shape ratio 53%, sizes 117->151",6
??1HelicopterSlowDeathBehavior@@MAE@XZ,HelicopterSlowDeathUpdate.cpp,117,0x00781520,60,structural,37,"shape ratio 53%, sizes 117->151",6
?read_pivots@HTreeClass@@AAE_NAAVChunkLoadClass@@_N@Z,htree.cpp,1124,0x009531AB,60,structural,0,"shape ratio 77%, sizes 1124->1124",12
?Read_InfoV2@ParticleEmitterDefClass@@MAE?AW4WW3DErrorType@@AAVChunkLoadClass@@@Z,part_ldr.cpp,188,0x0098C50C,60,structural,0,"shape ratio 75%, sizes 188->188",15
?Flush@WW3D@@SAXAAVRenderInfoClass@@@Z,ww3d.cpp,62,0x008FE77D,58,structural,0,"shape ratio 31%, sizes 62->62",10
?ladderSelectedCallback@@YAXXZ,PopupLadderSelect.cpp,42,0x004D799F,57,structural,0,"shape ratio 23%, sizes 42->42",25
?parseData@@YA_NPAPAXPAD1@Z,GameWindowManagerScript.cpp,751,0x004850BB,57,structural,0,"shape ratio 33%, sizes 751->751",17
?init@FunctionLexicon@@UAEXXZ,FunctionLexicon.cpp,107,0x0010565B,56,structural,0,"shape ratio 23%, sizes 107->107",35
?onPlayerSciencePurchasePointsChanged@ControlBar@@QAEXPBVPlayer@@@Z,ControlBar.cpp,110,0x0049DD20,55,structural,15,"shape ratio 65%, sizes 110->111",6
?diffReverseSide@@YAXXZ,MainMenu.cpp,280,0x00547C1A,55,structural,0,"shape ratio 14%, sizes 280->280",15
?getDataTemplate@@YAPAXPAD@Z,GameWindowManagerScript.cpp,354,0x004850BD,55,structural,0,"shape ratio 25%, sizes 354->354",15
?init@WindowVideo@@QAEXPAVGameWindow@@VAsciiString@@W4WindowVideoPlayType@@PAVVideoBuffer@@PAVVideoStreamInterface@@@Z,window_video_manager.cpp,134,0x00498240,55,structural,34,"shape ratio 75%, sizes 134->135",15
?exitObjectViaDoor@DefaultProductionExitUpdate@@UAEXPAVObject@@W4ExitDoorType@@@Z,DefaultProductionExitUpdate.cpp,494,0x002D01E5,55,structural,0,"shape ratio 77%, sizes 494->494",14
??0LANPlayer@@QAE@XZ,LANAPIhandlers.cpp,113,0x004F1280,55,structural,25,"shape ratio 61%, sizes 113->138",10
?PreStaticInit@Debug@@CAXXZ,debug_debug.cpp,172,0x00C6E37E,55,structural,0,"shape ratio 4%, sizes 172->172",5
??1ThumbnailClass@@AAE@XZ,texturethumbnail.cpp,96,0x009CB58E,54,structural,0,"shape ratio 55%, sizes 96->96",6
?PopupHostGameUpdate@@YAXPAVWindowLayout@@PAX@Z,PopupHostGame.cpp,62,0x0055F511,53,structural,0,"shape ratio 32%, sizes 62->62",10
?GameSpyPlayerInfoOverlayInit@@YAXPAVWindowLayout@@PAX@Z,PopupPlayerInfo.cpp,837,0x004DDD0F,53,structural,0,"shape ratio 8%, sizes 837->837",65
?preDraw@InGameUI@@UAEXXZ,InGameUI.cpp,30,0x00441098,53,structural,0,"shape ratio 32%, sizes 30->30",5
?Cast_Ray@MeshClass@@UAE_NAAVRayCollisionTestClass@@@Z,mesh.cpp,657,0x0092DA10,53,structural,2,"shape ratio 82%, sizes 657->657",10
?Set_NPatches_Gap_Filling_Mode@WW3D@@SAXW4NPatchesGapFillingModeEnum@1@@Z,ww3d.cpp,30,0x00949D9C,53,structural,0,"shape ratio 0%, sizes 30->30",5
??1FloatingTextData@@MAE@XZ,InGameUI.cpp,104,0x00360F90,52,structural,35,"shape ratio 53%, sizes 104->128",6
??0WeatherSetting@@QAE@XZ,Snow.cpp,157,0x0045AB12,52,structural,0,"shape ratio 68%, sizes 157->157",5
?buildFieldParse@RiderChangeContainModuleData@@SAXAAVMultiIniFieldParse@@@Z,RiderChangeContain.cpp,92,0x0077F721,52,structural,0,"shape ratio 14%, sizes 92->92",5
?insert_unique@?$_Rb_tree@HU?$pair@$$CBHVMultiplayerColorDefinition@@@_STL@@U?$_Select1st@U?$pair@$$CBHVMultiplayerColorDefinition@@@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHVMultiplayerColorDefinition@@@_STL@@@2@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@U?$pair@$$CBHVMultiplayerColorDefinition@@@_STL@@U?$_Nonconst_traits@U?$pair@$$CBHVMultiplayerColorDefinition@@@_STL@@@2@@_STL@@_N@2@ABU?$pair@$$CBHVMultiplayerColorDefinition@@@2@@Z,MultiplayerSettings.cpp,139,0x0065DC06,51,structural,0,"shape ratio 92%, sizes 139->139",5
?insert_unique@?$_Rb_tree@W4NameKeyType@@U?$pair@$$CBW4NameKeyType@@PAVTeamPrototype@@@_STL@@U?$_Select1st@U?$pair@$$CBW4NameKeyType@@PAVTeamPrototype@@@_STL@@@3@U?$less@W4NameKeyType@@@3@V?$allocator@U?$pair@$$CBW4NameKeyType@@PAVTeamPrototype@@@_STL@@@3@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@U?$pair@$$CBW4NameKeyType@@PAVTeamPrototype@@@_STL@@U?$_Nonconst_traits@U?$pair@$$CBW4NameKeyType@@PAVTeamPrototype@@@_STL@@@2@@_STL@@_N@2@ABU?$pair@$$CBW4NameKeyType@@PAVTeamPrototype@@@2@@Z,Team.cpp,139,0x0065DC06,51,structural,0,"shape ratio 92%, sizes 139->139",5
?insert_unique@?$_Rb_tree@IU?$pair@$$CBI_N@_STL@@U?$_Select1st@U?$pair@$$CBI_N@_STL@@@2@U?$less@I@2@V?$allocator@U?$pair@$$CBI_N@_STL@@@2@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@U?$pair@$$CBI_N@_STL@@U?$_Nonconst_traits@U?$pair@$$CBI_N@_STL@@@2@@_STL@@_N@2@ABU?$pair@$$CBI_N@2@@Z,FileSystem.cpp,139,0x0094CCF6,51,structural,0,"shape ratio 92%, sizes 139->139",5
?insert_unique@?$_Rb_tree@W4NameKeyType@@U?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@_STL@@U?$_Select1st@U?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@_STL@@@3@U?$less@W4NameKeyType@@@3@V?$allocator@U?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@_STL@@@3@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@U?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@_STL@@U?$_Nonconst_traits@U?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@_STL@@@2@@_STL@@_N@2@ABU?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@2@@Z,ModuleFactory.cpp,139,0x0065DC06,51,structural,0,"shape ratio 92%, sizes 139->139",5
?insert_unique@?$_Rb_tree@HHU?$_Identity@H@_STL@@U?$less@H@2@V?$allocator@H@2@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@HU?$_Nonconst_traits@H@_STL@@@_STL@@_N@2@ABH@Z,LanGameOptionsMenu.cpp,139,0x0065DC06,51,structural,0,"shape ratio 92%, sizes 139->139",5
?showSelectiveButtons@@YAXH@Z,MainMenu.cpp,93,0x00505664,51,structural,0,"shape ratio 14%, sizes 93->93",15
?initialHide@@YAXXZ,MainMenu.cpp,1073,0x004DF19C,51,structural,0,"shape ratio 0%, sizes 1073->1073",25
?MapSelectMenuUpdate@@YAXPAVWindowLayout@@PAX@Z,MapSelectMenu.cpp,90,0x004D1BCF,51,structural,0,"shape ratio 12%, sizes 90->90",10
?populateLadderListBox@@YAXXZ,PopupLadderSelect.cpp,98,0x004D873F,51,structural,0,"shape ratio 56%, sizes 98->98",20
?insert_unique@?$_Rb_tree@HU?$pair@$$CBHPAVPlayer@@@_STL@@U?$_Select1st@U?$pair@$$CBHPAVPlayer@@@_STL@@@2@U?$less@H@2@V?$allocator@U?$pair@$$CBHPAVPlayer@@@_STL@@@2@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@U?$pair@$$CBHPAVPlayer@@@_STL@@U?$_Nonconst_traits@U?$pair@$$CBHPAVPlayer@@@_STL@@@2@@_STL@@_N@2@ABU?$pair@$$CBHPAVPlayer@@@2@@Z,ScoreScreen.cpp,139,0x0065DC06,51,structural,0,"shape ratio 92%, sizes 139->139",5
?insert_unique@?$_Rb_tree@W4ObjectID@@U?$pair@$$CBW4ObjectID@@W4ObjectEnterExitType@@@_STL@@U?$_Select1st@U?$pair@$$CBW4ObjectID@@W4ObjectEnterExitType@@@_STL@@@3@U?$less@W4ObjectID@@@3@V?$allocator@U?$pair@$$CBW4ObjectID@@W4ObjectEnterExitType@@@_STL@@@3@@_STL@@QAE?AU?$pair@U?$_Rb_tree_iterator@U?$pair@$$CBW4ObjectID@@W4ObjectEnterExitType@@@_STL@@U?$_Nonconst_traits@U?$pair@$$CBW4ObjectID@@W4ObjectEnterExitType@@@_STL@@@2@@_STL@@_N@2@ABU?$pair@$$CBW4ObjectID@@W4ObjectEnterExitType@@@2@@Z,OpenContain.cpp,139,0x0065DC06,51,structural,0,"shape ratio 92%, sizes 139->139",5
