size,rva,zh_symbol,zh_source,dump_file
62,0x4795a0,?winActivate@GameWindow@@QAEHXZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindow.cpp,Code/gen_asm/d_00475b00.asm
61,0x3b5100,??0DemoTrapUpdateModuleData@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DemoTrapUpdate.cpp,Code/gen_asm/d_003ad560.asm
56,0x60cbb0,?Unlock@DSurface@@UBE_NXZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/Libraries/Source/WWVegas/WWLib/dsurface.cpp,Code/gen_asm/d_0060bd30.asm
50,0x58fe20,??1?$_Vector_base@VPlayerTemplate@@V?$allocator@VPlayerTemplate@@@_STL@@@_STL@@QAE@XZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/RTS/PlayerTemplate.cpp,Code/gen_asm/d_0058aec0.asm
43,0x5bd120,?printf@DebugDisplay@@UAAXPADZZ,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/System/DebugDisplay.cpp,Code/gen_asm/d_0058aec0.asm
42,0x3398f0,?getUpgradeCameoName@ThingTemplate@@QBE?AVAsciiString@@H@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp,Code/gen_asm/d_0032b730.asm
42,0x3398f0,?getTowerObjectName@TerrainRoadType@@QAE?AVAsciiString@@W4BridgeTowerType@@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameLogic/Map/TerrainLogic.cpp,Code/gen_asm/d_0032b730.asm
42,0x3398f0,?getDamageToSoundString@TerrainRoadType@@QAE?AVAsciiString@@W4BodyDamageType@@@Z,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/Terrain/TerrainRoads.cpp,Code/gen_asm/d_0032b730.asm
25,0xc3a73b,$L92578,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp,Code/gen_asm/d_00c33460.asm
25,0xc1f24b,$L54647,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameNetwork/GameSpy/LobbyUtils.cpp,Code/gen_asm/d_009f6921.asm
25,0xbf62c8,$L83919,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/ControlBar/ControlBar.cpp,Code/gen_asm/d_00aa0d0d.asm
25,0xbf5388,$L69169,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/LanLobbyMenu.cpp,Code/gen_asm/d_00aa0d0d.asm
25,0xbf5388,$L64090,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/SkirmishGameOptionsMenu.cpp,Code/gen_asm/d_00aa0d0d.asm
25,0xbf5388,$L62673,reference/CnC_Generals_Zero_Hour/GeneralsMD/Code/GameEngine/Source/Common/UserPreferences.cpp,Code/gen_asm/d_00aa0d0d.asm
